NOME,DESCRIÇÃO,SLUG,PREÇO UNITÁRIO,QUANTIDADE EM ESTOQUE,CATEGORIA
Notebook Samsung,"Samsung Book Core i5-1135G7, 8G, 256GB SSD, Iris Xe, 15.6""FHD, W11 Cinza",notebook-samsung,3523.00,1,INFORMÁTICA
Sofá 3 lugares,"Sofá 3 Lugares Retrátil e Reclinável Cama Inbox Compact 1,80m Velusoft Cinza",sofa-3-lugares,2500.00,1,MÓVEIS
Clean Architecture,Arquitetura limpa: O guia do artesão para estrutura e design de software por Robert C. Martin (Uncle Bob),livro-clean-architecture,102.90,2,LIVROS
Mesa de jantar 6 lugares,Mesa de Jantar 6 Lugares Lótus Oppa Design - Caramel,mesa-de-jantar-6-lugares,3678.98,1,MÓVEIS
iPhone 13 Pro,Apple iPhone 13 Pro (256 GB) - Verde-alpino,iphone-13-pro,9176.00,6,CELULARES
"Monitor Dell 27""","Monitor Dell de 27"" P2722H, Preto",monitor-dell-27,1889.00,3,INFORMÁTICA
Implementing Domain-Driven Design,Implementando Domain-Driven Design por Vaughn Vernon,livro-implementing-ddd,144.07,3,LIVROS
Jogo de pneus,Pneu Barum by Continental Aro 13 Bravuris 5hm 175/70r13 82t,jogo-de-pneus-continental-13,1276.79,1,AUTOMOTIVA
Clean Code,Código limpo: Habilidades práticas do Agile Software por Robert C. Martin (Uncle Bob),livro-clean,95.17,1,LIVROS
Galaxy S22 Ultra,"Smartphone Samsung Galaxy S22 Ultra 256GB 5G com caneta S PEN - Preto, Câmera Tripla 108MP + Selfie 40MP, RAM 12GB, Tela 6.8""",celular-galaxy-22-ultra,8549.10,5,CELULARES
Macbook Pro 16,"Notebook Apple MacBook Pro de 13 polegadas: Chip M2 da Apple com CPU de oito núcleos e GPU de dez núcleos, de 512 GB SSD - Prateado",notebook-macbook-pro-16,31752.00,1,INFORMÁTICA
Refactoring Improving the Design of Existing Code,Refatoração: Aperfeiçoando o Design de Códigos Existentes por Martin Fowler,livro-refactoring,173.90,1,LIVROS
Cama queen size,Cama Queen Size Dener Oppa Design - Mel,cama-queen-size-dener,3100.00,2,MÓVEIS
Central multimidia,"Kit Combo Central Multimídia 9 Polegadas Mp5 Automotivo Aparelho 2 Din Som Pra Carro Sistema Operacional Android 12 Bluetooth Usb Gps Integrado Conexão Wifi Função Speedplay que Simula Carplay e Android Auto Mais Aplicativos Como Spotify Waze Youtube WhatsApp, Tela Resistiva, Microfone Externo Função Multi Tela 2gb Ram e 32gb de Memória interna, Entradas para Encostos de Cabeça, Comando de Volante e Para Câmera Frontal ou Traseira + Moldura Painel Kia Sorento 2013 a 2014 Cor Preta + Câmera de ré",central-multimidia-automotiva,711.18,1,AUTOMOTIVA
Building Microservices,Building Microservices (English Edition) por Sam Newman,livro-building-microservices,300.28,2,LIVROS
Galaxy Tab S8,Tablet Samsung Galaxy S8 5G SM-X706B 256gb Grafite 8gb Ram,tablet-galaxy-tab-s8,5939.10,4,INFORMÁTICA
